6.66	1389 	100 	1
6.67	1360 	100 	1
6.68	1301 	100 	1
6.69	1301 	100 	1
6.7	1301 	100 	1
6.71	1271 	100 	1
6.72	1213 	100 	1
6.73	1183 	90 	0.9
6.74	1183 	100 	1
6.75	1183 	100 	1
6.76	1154 	100 	1
6.77	1154 	100 	1
6.78	1065 	0 	0
